origin,angles,info
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.playlist:fs_1v1"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.map:mp_rr_arena_composite"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.spawnsCount:24"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.teamCount:2"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.devAutoSave:false"
"< 344.814, 1279, 188.561>","< 0, 178.999, 0>"  ,"spawn_0"
"< -301.837, 1278.16, 188.608>","< 0, -2.78833, 0>"  ,"spawn_1"
"< -2934.02, 3094.91, 192.048>","< 0, 45.9643, 0>"  ,"spawn_2"
"< -2282.99, 3810.26, 192.046>","< 0, -120.085, 0>"  ,"spawn_3"
"< -1037.85, 2280.86, -130.952>","< 0, -6.83473, 0>"  ,"spawn_4"
"< -143.208, 2239.93, -114.433>","< 0, -178.196, 0>"  ,"spawn_5"
"< 2983.75, 3072.01, 192.054>","< 0, 138.604, 0>"  ,"spawn_6"
"< 2251.53, 3821.52, 192.045>","< 0, -59.683, 0>"  ,"spawn_7"
"< -694.934, 4686.72, 129>","< 0, -159.395, 0>"  ,"spawn_8"
"< -1257.72, 4618.77, 128.017>","< 0, 7.97794, 0>"  ,"spawn_9"
"< -851.907, 5469.1, -32.0258>","< 0, -3.02725, 0>"  ,"spawn_10"
"< -209.819, 5462.67, -30.8022>","< 0, -178.95, 0>"  ,"spawn_11"
"< 621.689, 3920.87, -31.994>","< 0, -84.1401, 0>"  ,"spawn_12"
"< 709.123, 3262.1, -31.9688>","< 0, 94.3908, 0>"  ,"spawn_13"
"< 2933.51, 1449.66, 140.031>","< 0, -100.365, 0>"  ,"spawn_14"
"< 2455.15, 1004.1, 128.031>","< 0, 7.74316, 0>"  ,"spawn_15"
"< -1441.08, 1675.66, 280.08>","< 0, -110, 0>"  ,"spawn_16"
"< -1787.21, 1008.08, 254.03>","< 0, 50, 0>"  ,"spawn_17"
"< 1649.16, 1135.37, 193>","< 0, 137.992, 0>"  ,"spawn_18"
"< 1122.84, 1418.5, 190.821>","< 0, -27.6341, 0>"  ,"spawn_19"
"< -2923.08, 1525.51, 140.031>","< 355.275, 262.222, 0>"  ,"spawn_20"
"< -2633.31, 833.701, 128.031>","< 0, 130.052, 0>"  ,"spawn_21"
"< -836.685, 2751.2, 192.031>","< 0, -150.723, 0>"  ,"spawn_22"
"< -1405.86, 2548.43, 192.031>","< 0, 12.0756, 0>"  ,"spawn_23"
vector,vector,string
