origin,angles,info
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.playlist:fs_1v1"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.map:mp_rr_arena_skygarden"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.spawnsCount:28"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.teamCount:2"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.devAutoSave:false"
"< -2711.41, 151.713, 2855.16>","< 357.231, 267.359, 0>"  ,"spawn_0"
"< -2725.5, -390.595, 2855.16>","< 356.07, 89.8643, 0>"  ,"spawn_1"
"< 2729.37, -342.944, 2855.28>","< 356.025, 89.8239, 0>"  ,"spawn_2"
"< 2735.39, 137.601, 2855.28>","< 359.026, 267.91, 0>"  ,"spawn_3"
"< 325.688, -99.1393, 2681.03>","< 358.283, 178.043, 0>"  ,"spawn_4"
"< -306.827, -91.6225, 2681.03>","< 358.79, 358.514, 0>"  ,"spawn_5"
"< 674.815, 2649.66, 2920.03>","< 358.796, 179.896, 0>"  ,"spawn_12"
"< -651.259, 2648.31, 2920.03>","< 3.93804, 0.667462, 0>"  ,"spawn_13"
"< -1281.6, 2764.84, 2920.03>","< 0.249392, 87.9701, 0>"  ,"spawn_14"
"< -892.455, 3178.81, 2920.03>","< 359.401, 179.992, 0>"  ,"spawn_15"
"< 1282.59, 2789.23, 2920.03>","< 359.461, 90.1711, 0>"  ,"spawn_16"
"< 867.468, 3186.7, 2920.03>","< 0.150161, 357.612, 0>"  ,"spawn_17"
"< 2206.92, -2677.09, 2853.03>","< 357.898, 253.507, 0>"  ,"spawn_18"
"< 2054.66, -3161.08, 2853.03>","< 358.78, 70.775, 0>"  ,"spawn_19"
"< -2286.88, -3133.19, 2853.03>","< 359.509, 96.6746, 0>"  ,"spawn_20"
"< -2333.66, -2710.4, 2853.03>","< 1.75485, 274.973, 0>"  ,"spawn_21"
"< -288.876, -2393.52, 2730.03>","< 359.63, 359.863, 0>"  ,"spawn_22"
"< 248.064, -2393.83, 2730.34>","< 357.904, 178.891, 0>"  ,"spawn_23"
"< 577.367, -3156.26, 2826.03>","< 0.834124, 180.397, 0>"  ,"spawn_26"
"< -614.982, -3148.64, 2826.03>","< 359.879, 358.87, 0>"  ,"spawn_27"
"< 2366.22, 283.837, 2591.35>","< 359.562, 270.137, 0>"  ,"spawn_28"
"< 2353.46, -503.545, 2591.35>","< 0.808933, 89.3065, 0>"  ,"spawn_29"
"< -2347.91, 323.3, 2591.35>","< 359.135, 270.755, 0>"  ,"spawn_30"
"< -2339.53, -535.238, 2591.35>","< 358.435, 90.713, 0>"  ,"spawn_31"
"< -1485.4, 2617.78, 2655.16>","< 357.801, 271.81, 0>"  ,"spawn_24"
"< -1482.1, 1927.3, 2661.33>","< 358.039, 89.3573, 0>"  ,"spawn_25"
"< 1472.59, 2605.54, 2655.96>","< 0.796981, 270.569, 0>"  ,"spawn_26"
"< 1453.68, 1939.31, 2667.25>","< 0.414852, 86.2832, 0>"  ,"spawn_27"
vector,vector,string
