origin,angles,info
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.playlist:fs_scenarios"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.map:mp_rr_desertlands_64k_x_64k"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.spawnsCount:170"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.teamCount:5"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.devAutoSave:false"
"< 22108.1, -39656.5, -2220.3>","< 0.69429, 52.6675, 0>"  ,"dome-corner-team1"
"< 23524.6, -39443.8, -2130.1>","< 4.31046, 178.782, 0>"  ,"dome-corner-team2"
"< 21442.1, -38759.7, -2016.53>","< 13.6373, 3.14949, 0>"  ,"dome-corner-team3"
"< 22069.4, -39707.4, -2016.53>","< 7.89993, 49.3354, 0>"  ,"dome-corner-team4"
"< 23001.7, -37587.5, -2308.33>","< 1.05925, 253.834, 0>"  ,"dome-corner-team5"
"< 16832.5, -38601.6, -2220.61>","< 1.28054, 276.386, 0>"  ,"dome-side-team1"
"< 16832.8, -38560.1, -2016.84>","< 13.4388, 277.745, 0>"  ,"dome-side-team2"
"< 15112.8, -39746.7, -2402.65>","< 358.55, 23.7577, 0>"  ,"dome-side-team3"
"< 18116.2, -40367.6, -2220.3>","< 4.94016, 142.482, 0>"  ,"dome-side-team4"
"< 17062.7, -37958.1, -2220.61>","< 5.16451, 232.445, 0>"  ,"dome-side-team5"
"< 23940.5, -9811.06, -4134.61>","< 1.45399, 23.3206, 0>"  ,"geyser-middle-team1"
"< 22966.7, -7795.41, -4130.61>","< 3.05639, 11.0455, 0>"  ,"geyser-middle-team2"
"< 25542.4, -7386.76, -4013.83>","< 5.87504, 251.647, 0>"  ,"geyser-middle-team3"
"< 26291.3, -9353.73, -4065.22>","< 7.28175, 136.778, 0>"  ,"geyser-middle-team4"
"< 24715.6, -7210.32, -4009.28>","< 3.22405, 293.578, 0>"  ,"geyser-middle-team5"
"< 26944.7, -7509.4, -4114.62>","< 4.09881, 8.65976, 0>"  ,"geyser-side-team1"
"< 29265.3, -6894.96, -3620.77>","< 0.824205, 224.674, 0>"  ,"geyser-side-team2"
"< 29469.6, -8977, -3620.77>","< 359.403, 126.266, 0>"  ,"geyser-side-team3"
"< 30080.4, -8207.33, -3696.57>","< 356.021, 160.897, 0>"  ,"geyser-side-team4"
"< 28096.2, -5995.75, -4010.45>","< 355.256, 278.004, 0>"  ,"geyser-side-team5"
"< 20920.8, 2362.32, -4196.21>","< 2.33133, 79.8821, 0>"  ,"nonamenearoverlook-team1"
"< 21958.4, 3430.07, -4199.97>","< 358.96, 181.314, 0>"  ,"nonamenearoverlook-team2"
"< 21808.5, 3247.4, -4087.97>","< 359.947, 179.843, 0>"  ,"nonamenearoverlook-team3"
"< 20467.3, 4120.25, -3935.97>","< 359.974, 272.252, 0>"  ,"nonamenearoverlook-team4"
"< 19501.1, 2387.95, -3754.87>","< 5.86548, 34.9978, 0>"  ,"nonamenearoverlook-team5"
"< 30025.3, 7970.77, -3399.97>","< 4.322, 100.741, 0>"  ,"overlook-edge-team1"
"< 30920.7, 10063.4, -3201.01>","< 0.731589, 249.235, 0>"  ,"overlook-edge-team2"
"< 29252.2, 10454.6, -3467.97>","< 1.37664, 261.062, 0>"  ,"overlook-edge-team3"
"< 27769.8, 11324.8, -3484.78>","< 3.05099, 310.845, 0>"  ,"overlook-edge-team4"
"< 28102.5, 11487.2, -3369.05>","< 2.17583, 358.765, 0>"  ,"overlook-edge-team5"
"< 17326, -4175.59, -2762.59>","< 16.9072, 144.197, 0>"  ,"nonamenearfrageast-team1"
"< 16707.9, -1292.38, -3682.46>","< 345.511, 225.728, 0>"  ,"nonamenearfrageast-team2"
"< 14058.9, -2356.27, -3273.67>","< 357.864, 342.626, 0>"  ,"nonamenearfrageast-team3"
"< 14242.8, -3624.51, -3075.87>","< 7.5936, 50.8561, 0>"  ,"nonamenearfrageast-team4"
"< 15173.7, -5066.34, -2630.06>","< 11.7168, 100.215, 0>"  ,"nonamenearfrageast-team5"
"< 14277.1, 4278.08, -4271.97>","< 3.59873, 356.856, 0>"  ,"frageast-corner-team1"
"< 14185.1, 3720.39, -4135.97>","< 2.3815, 27.357, 0>"  ,"frageast-corner-team2"
"< 15955.7, 2427.34, -4147.85>","< 7.39164, 118.32, 0>"  ,"frageast-corner-team3"
"< 14203.3, 4537.05, -4295.97>","< 0.839242, 350.575, 0>"  ,"frageast-corner-team4"
"< 14875.3, 5676.88, -4127.97>","< 1.77409, 281.437, 0>"  ,"frageast-corner-team5"
"< 11358.7, 6293.76, -4351.97>","< 1.02362, 178.356, 0>"  ,"frageast-station-team1"
"< 11419.2, 6335.05, -3963.97>","< 1.35048, 204.165, 0>"  ,"frageast-station-team2"
"< 11186.1, 6264.06, -3351.62>","< 15.9892, 194.539, 0>"  ,"frageast-station-team3"
"< 9906.33, 5886.15, -4295.97>","< 358.763, 1.40411, 0>"  ,"frageast-station-team4"
"< 10446.3, 4012.43, -4155.97>","< 359.3, 89.797, 0>"  ,"frageast-station-team5"
"< 9961.42, 5175.93, -4295.97>","< 3.42896, 158.414, 0>"  ,"frageast-ttv-team1"
"< 9746.98, 5610.49, -4095.97>","< 2.94941, 142.157, 0>"  ,"frageast-ttv-team2"
"< 9430.71, 5898.8, -3895.97>","< 1.34859, 255.408, 0>"  ,"frageast-ttv-team3"
