origin,angles,info
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.playlist:fs_scenarios"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.map:mp_rr_desertlands_64k_x_64k"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.spawnsCount:198"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.teamCount:2"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.devAutoSave:false"
"< 6387.34, 12452.3, -3935.97>","< 18.5016, 294.62, 0>"  ,"spawn_0"
"< 7604.88, 11874.3, -4071.97>","< 3.42397, 156.234, 0>"  ,"spawn_1"
"< 6063.94, 10063.8, -4071.97>","< 16.5059, 291.299, 0>"  ,"spawn_2"
"< 5127.15, 10209, -4071.95>","< 9.61226, 72.6396, 0>"  ,"spawn_3"
"< 3498.73, 12336.6, -3935.97>","< 359.199, 172.429, 0>"  ,"spawn_4"
"< 3576.82, 12407.4, -3743.97>","< 7.51914, 262.085, 0>"  ,"spawn_5"
"< 2223.7, 12893.9, -4024.95>","< 21.5442, 225.771, 0>"  ,"spawn_6"
"< 1921.51, 12299.1, -3744.95>","< 21.1555, 100.053, 0>"  ,"spawn_7"
"< 2093, 12310.8, -3536.95>","< 15.3486, 187.049, 0>"  ,"spawn_8"
"< 2134.77, 12548.2, -3336.94>","< 6.99476, 0.107616, 0>"  ,"spawn_9"
"< 2133.32, 12101.4, -3336.95>","< 13.1412, 131.188, 0>"  ,"spawn_10"
"< 1797.73, 12601.5, -4024.95>","< 14.294, 64.0043, 0>"  ,"spawn_11"
"< 1908.94, 10851.4, -4079.97>","< 0.118049, 260.242, 0>"  ,"spawn_12"
"< 1442.66, 9612.75, -3911.97>","< 22.4121, 355.175, 0>"  ,"spawn_13"
"< 1367.38, 10117.7, -4079.97>","< 11.3669, 74.445, 0>"  ,"spawn_14"
"< 1364.32, 10331.7, -3911.97>","< 21.0292, 15.8029, 0>"  ,"spawn_15"
"< 361.895, 9055.16, -4055.97>","< 13.4727, 316.083, 0>"  ,"spawn_16"
"< 1114.01, 8290.33, -4125.15>","< 11.127, 121.996, 0>"  ,"spawn_17"
"< 1619.79, 5613.91, -4223.95>","< 17.4351, 24.7601, 0>"  ,"spawn_18"
"< 1802.45, 5461.64, -3207.95>","< 14.4676, 279.109, 0>"  ,"spawn_19"
"< 2320.72, 3814.39, -4295.97>","< 9.12993, 231.369, 0>"  ,"spawn_20"
"< -1838.67, 2741.17, -2958.7>","< 20.6829, 37.7097, 0>"  ,"spawn_21"
"< -2176.18, 408.658, -3006.75>","< 30.9075, 339.737, 0>"  ,"spawn_22"
"< 90.3268, -1287.37, -3378.42>","< 3.34638, 135.632, 0>"  ,"spawn_23"
"< 3494.61, -1649.36, -3500.72>","< 21.5877, 99.3072, 0>"  ,"spawn_24"
"< 3387.43, 3.31451, -3676.86>","< 16.2381, 254.213, 0>"  ,"spawn_25"
"< 8822.34, 3229.34, -4299.97>","< 17.5537, 281.083, 0>"  ,"spawn_26"
"< 8929.09, 3355.87, -4163.97>","< 17.6896, 312.941, 0>"  ,"spawn_27"
"< 8281.14, 5663.9, -4328.97>","< 16.038, 103.048, 0>"  ,"spawn_28"
"< 9485.71, 5657.91, -3695.97>","< 21.6378, 119.815, 0>"  ,"spawn_29"
"< 10804.1, 6228.03, -4295.9>","< 8.65433, 5.72264, 0>"  ,"spawn_30"
"< 12131.5, 6333.53, -4135.97>","< 2.70301, 310.06, 0>"  ,"spawn_31"
"< 13641.5, 6678.5, -4263.97>","< 14.3649, 281.811, 0>"  ,"spawn_32"
"< 12003, 5614.61, -4351.95>","< 11.8486, 72.3762, 0>"  ,"spawn_33"
"< 13519.2, 5678.7, -3967.97>","< 8.88263, 21.9987, 0>"  ,"spawn_34"
"< 14845.8, 6663.36, -4127.97>","< 16.4537, 254.346, 0>"  ,"spawn_35"
"< 15951.3, 7661.89, -4262.41>","< 1.20024, 80.4269, 0>"  ,"spawn_36"
"< 16584.9, 11191.2, -3049.66>","< 13.3258, 271.99, 0>"  ,"spawn_37"
"< 16643.8, 13983.6, -3331.12>","< 26.6128, 328.077, 0>"  ,"spawn_38"
"< 15866.2, 15349.9, -3270.51>","< 7.48881, 294.318, 0>"  ,"spawn_39"
"< 15103.1, 13745.9, -3176.28>","< 6.84366, 308.855, 0>"  ,"spawn_40"
"< 16988.2, 13750.8, -3398.01>","< 20.5916, 314.276, 0>"  ,"spawn_41"
"< 21358.1, 14483.5, -4447.04>","< 358.887, 355.481, 0>"  ,"spawn_42"
"< 22499.8, 13678.4, -3779.13>","< 13.9483, 164.837, 0>"  ,"spawn_43"
"< 24801.3, 13651.8, -3034.13>","< 6.19817, 206.184, 0>"  ,"spawn_44"
"< 22770.4, 13657.4, -3757.86>","< 331.403, 18.8923, 0>"  ,"spawn_45"
"< 26212.9, 13644.6, -3122.95 >","< 18.0015, 40.9161, 0>" ,"spawn_198"
"< 27024.7, 14243, -3109.55>","< 9.41417, 232.007, 0>"  ,"spawn_198"
"< 26149.6, 13277.9, -3121.27>","< 16.4608, 70.1298, 0>"  ,"spawn_48"
"< 26549.3, 15927, -2968.01>","< 8.66803, 326.881, 0>"  ,"spawn_49"
"< 27534.4, 16196, -3126.93>","< 16.0581, 349.545, 0>"  ,"spawn_50"
"< 28038.5, 13722.2, -3095.98>","< 18.0779, 70.3943, 0>"  ,"spawn_51"
